Method       t0       tn       N         h
Verlet  0.0e+00  2.0e+00     366 5.479e-03

rx  -  ry  -  vx  -  vy
-1.023394e+02  -2.805809e+01  -1.213145e+02  -3.326063e+01
-1.030041e+02  -2.824034e+01  -1.213145e+02  -3.326062e+01
-1.036688e+02  -2.842259e+01  -1.213145e+02  -3.326062e+01
-1.043336e+02  -2.860484e+01  -1.213145e+02  -3.326061e+01
-1.049983e+02  -2.878709e+01  -1.213145e+02  -3.326061e+01
-1.056631e+02  -2.896934e+01  -1.213144e+02  -3.326060e+01
-1.063278e+02  -2.915159e+01  -1.213144e+02  -3.326060e+01
-1.069925e+02  -2.933384e+01  -1.213144e+02  -3.326059e+01
-1.076573e+02  -2.951609e+01  -1.213144e+02  -3.326059e+01
-1.083220e+02  -2.969834e+01  -1.213144e+02  -3.326058e+01
-1.089867e+02  -2.988059e+01  -1.213144e+02  -3.326058e+01
-1.096515e+02  -3.006284e+01  -1.213143e+02  -3.326057e+01
-1.103162e+02  -3.024509e+01  -1.213143e+02  -3.326057e+01
-1.109810e+02  -3.042734e+01  -1.213143e+02  -3.326057e+01
-1.116457e+02  -3.060959e+01  -1.213143e+02  -3.326056e+01
-1.123104e+02  -3.079184e+01  -1.213143e+02  -3.326056e+01
-1.129752e+02  -3.097409e+01  -1.213143e+02  -3.326055e+01
-1.136399e+02  -3.115634e+01  -1.213143e+02  -3.326055e+01
-1.143046e+02  -3.133859e+01  -1.213142e+02  -3.326055e+01
-1.149694e+02  -3.152084e+01  -1.213142e+02  -3.326054e+01
-1.156341e+02  -3.170309e+01  -1.213142e+02  -3.326054e+01
-1.162988e+02  -3.188534e+01  -1.213142e+02  -3.326053e+01
-1.169636e+02  -3.206759e+01  -1.213142e+02  -3.326053e+01
-1.176283e+02  -3.224984e+01  -1.213142e+02  -3.326053e+01
-1.182930e+02  -3.243209e+01  -1.213142e+02  -3.326052e+01
-1.189578e+02  -3.261434e+01  -1.213141e+02  -3.326052e+01
-1.196225e+02  -3.279659e+01  -1.213141e+02  -3.326051e+01
-1.202872e+02  -3.297884e+01  -1.213141e+02  -3.326051e+01
-1.209520e+02  -3.316108e+01  -1.213141e+02  -3.326051e+01
-1.216167e+02  -3.334333e+01  -1.213141e+02  -3.326050e+01
-1.222815e+02  -3.352558e+01  -1.213141e+02  -3.326050e+01
-1.229462e+02  -3.370783e+01  -1.213141e+02  -3.326050e+01
-1.236109e+02  -3.389008e+01  -1.213140e+02  -3.326049e+01
-1.242757e+02  -3.407233e+01  -1.213140e+02  -3.326049e+01
-1.249404e+02  -3.425458e+01  -1.213140e+02  -3.326049e+01
-1.256051e+02  -3.443683e+01  -1.213140e+02  -3.326048e+01
-1.262699e+02  -3.461908e+01  -1.213140e+02  -3.326048e+01
-1.269346e+02  -3.480133e+01  -1.213140e+02  -3.326048e+01
-1.275993e+02  -3.498358e+01  -1.213140e+02  -3.326047e+01
-1.282641e+02  -3.516583e+01  -1.213140e+02  -3.326047e+01
-1.289288e+02  -3.534808e+01  -1.213139e+02  -3.326047e+01
-1.295935e+02  -3.553032e+01  -1.213139e+02  -3.326046e+01
-1.302583e+02  -3.571257e+01  -1.213139e+02  -3.326046e+01
-1.309230e+02  -3.589482e+01  -1.213139e+02  -3.326046e+01
-1.315877e+02  -3.607707e+01  -1.213139e+02  -3.326045e+01
-1.322525e+02  -3.625932e+01  -1.213139e+02  -3.326045e+01
-1.329172e+02  -3.644157e+01  -1.213139e+02  -3.326045e+01
-1.335819e+02  -3.662382e+01  -1.213139e+02  -3.326044e+01
-1.342467e+02  -3.680607e+01  -1.213139e+02  -3.326044e+01
-1.349114e+02  -3.698832e+01  -1.213138e+02  -3.326044e+01
-1.355761e+02  -3.717057e+01  -1.213138e+02  -3.326044e+01
-1.362409e+02  -3.735282e+01  -1.213138e+02  -3.326043e+01
-1.369056e+02  -3.753506e+01  -1.213138e+02  -3.326043e+01
-1.375703e+02  -3.771731e+01  -1.213138e+02  -3.326043e+01
-1.382351e+02  -3.789956e+01  -1.213138e+02  -3.326042e+01
-1.388998e+02  -3.808181e+01  -1.213138e+02  -3.326042e+01
-1.395645e+02  -3.826406e+01  -1.213138e+02  -3.326042e+01
-1.402293e+02  -3.844631e+01  -1.213138e+02  -3.326042e+01
-1.408940e+02  -3.862856e+01  -1.213138e+02  -3.326041e+01
