Method       t0       tn       N         h
Verlet  0.0e+00  2.0e+00    1826 1.096e-03

rx  -  ry  -  vx  -  vy
-1.772242e-01   9.841847e-01  -6.183655e+00  -1.113429e+00
-1.839966e-01   9.829412e-01  -6.175842e+00  -1.155980e+00
-1.907602e-01   9.816510e-01  -6.167735e+00  -1.198476e+00
-1.975149e-01   9.803144e-01  -6.159336e+00  -1.240916e+00
-2.042602e-01   9.789312e-01  -6.150646e+00  -1.283296e+00
-2.109958e-01   9.775017e-01  -6.141663e+00  -1.325616e+00
-2.177213e-01   9.760258e-01  -6.132390e+00  -1.367873e+00
-2.244366e-01   9.745036e-01  -6.122825e+00  -1.410065e+00
-2.311412e-01   9.729352e-01  -6.112971e+00  -1.452190e+00
-2.378349e-01   9.713207e-01  -6.102826e+00  -1.494247e+00
-2.445173e-01   9.696601e-01  -6.092392e+00  -1.536232e+00
-2.511881e-01   9.679536e-01  -6.081670e+00  -1.578145e+00
-2.578470e-01   9.662012e-01  -6.070659e+00  -1.619982e+00
-2.644936e-01   9.644030e-01  -6.059360e+00  -1.661743e+00
-2.711278e-01   9.625590e-01  -6.047774e+00  -1.703426e+00
-2.777490e-01   9.606694e-01  -6.035901e+00  -1.745027e+00
-2.843571e-01   9.587343e-01  -6.023742e+00  -1.786546e+00
-2.909518e-01   9.567537e-01  -6.011298e+00  -1.827980e+00
-2.975326e-01   9.547278e-01  -5.998568e+00  -1.869327e+00
-3.040993e-01   9.526566e-01  -5.985554e+00  -1.910586e+00
-3.106516e-01   9.505402e-01  -5.972257e+00  -1.951754e+00
-3.171892e-01   9.483787e-01  -5.958676e+00  -1.992829e+00
-3.237117e-01   9.461723e-01  -5.944812e+00  -2.033810e+00
-3.302189e-01   9.439211e-01  -5.930667e+00  -2.074695e+00
-3.367104e-01   9.416251e-01  -5.916241e+00  -2.115481e+00
-3.431860e-01   9.392844e-01  -5.901534e+00  -2.156167e+00
-3.496453e-01   9.368992e-01  -5.886547e+00  -2.196751e+00
-3.560880e-01   9.344696e-01  -5.871282e+00  -2.237230e+00
-3.625139e-01   9.319957e-01  -5.855738e+00  -2.277604e+00
-3.689225e-01   9.294776e-01  -5.839916e+00  -2.317869e+00
-3.753137e-01   9.269154e-01  -5.823818e+00  -2.358025e+00
-3.816871e-01   9.243093e-01  -5.807443e+00  -2.398068e+00
-3.880423e-01   9.216594e-01  -5.790793e+00  -2.437998e+00
-3.943792e-01   9.189658e-01  -5.773868e+00  -2.477813e+00
-4.006974e-01   9.162286e-01  -5.756670e+00  -2.517510e+00
-4.069966e-01   9.134479e-01  -5.739199e+00  -2.557087e+00
