Method       t0       tn       N         h  beta      Time used [s]
Verlet        0  1.0e+01  100000 1.000e-04  2.000000       0.028893

x  -  y  -  z  .........
  -1.291521e-06  -2.624097e-06   2.028483e-10   4.303491e-01   8.743781e-01  -6.759129e-05
  -1.113485e-06  -2.700058e-06   2.100154e-10   3.710255e-01   8.996893e-01  -6.997946e-05
  -9.306817e-07  -2.764459e-06   2.162833e-10   3.101135e-01   9.211483e-01  -7.206801e-05
  -7.438790e-07  -2.816977e-06   2.216217e-10   2.478688e-01   9.386482e-01  -7.384680e-05
  -5.538685e-07  -2.857347e-06   2.260041e-10   1.845551e-01   9.520996e-01  -7.530709e-05
  -3.614621e-07  -2.885354e-06   2.294088e-10   1.204432e-01   9.614320e-01  -7.644157e-05
  -1.674880e-07  -2.900844e-06   2.318183e-10   5.580887e-02   9.665936e-01  -7.724444e-05
   2.721398e-08  -2.903722e-06   2.332199e-10  -9.067999e-03   9.675524e-01  -7.771145e-05
   2.217972e-07  -2.893950e-06   2.336054e-10  -7.390529e-02   9.642963e-01  -7.783993e-05
   4.154126e-07  -2.871553e-06   2.329719e-10  -1.384201e-01   9.568334e-01  -7.762882e-05
   6.072138e-07  -2.836616e-06   2.313209e-10  -2.023304e-01   9.451919e-01  -7.707871e-05
   7.963617e-07  -2.789284e-06   2.286592e-10  -2.653565e-01   9.294203e-01  -7.619179e-05
   9.820292e-07  -2.729762e-06   2.249982e-10  -3.272230e-01   9.095869e-01  -7.497189e-05
   1.163406e-06  -2.658314e-06   2.203541e-10  -3.876599e-01   8.857796e-01  -7.342444e-05
   1.339705e-06  -2.575260e-06   2.147481e-10  -4.464045e-01   8.581052e-01  -7.155645e-05
   1.510161e-06  -2.480976e-06   2.082056e-10  -5.032025e-01   8.266889e-01  -6.937642e-05
   1.674043e-06  -2.375892e-06   2.007567e-10  -5.578098e-01   7.916736e-01  -6.689436e-05
   1.830653e-06  -2.260485e-06   1.924355e-10  -6.099938e-01   7.532186e-01  -6.412166e-05
   1.979328e-06  -2.135280e-06   1.832803e-10  -6.595341e-01   7.114990e-01  -6.107104e-05
   2.119449e-06  -2.000847e-06   1.733330e-10  -7.062241e-01   6.667044e-01  -5.775649e-05
   2.250441e-06  -1.857794e-06   1.626390e-10  -7.498719e-01   6.190377e-01  -5.419311e-05
   2.371773e-06  -1.706767e-06   1.512468e-10  -7.903012e-01   5.687136e-01  -5.039712e-05
   2.482965e-06  -1.548442e-06   1.392080e-10  -8.273517e-01   5.159580e-01  -4.638564e-05
   2.583588e-06  -1.383524e-06   1.265764e-10  -8.608801e-01   4.610056e-01  -4.217668e-05
   2.673262e-06  -1.212743e-06   1.134085e-10  -8.907605e-01   4.040995e-01  -3.778897e-05
   2.751663e-06  -1.036847e-06   9.976226e-11  -9.168847e-01   3.454891e-01  -3.324189e-05
   2.818520e-06  -8.566011e-07   8.569742e-11  -9.391622e-01   2.854290e-01  -2.855533e-05
   2.873616e-06  -6.727795e-07   7.127493e-11  -9.575209e-01   2.241776e-01  -2.374960e-05
   2.916788e-06  -4.861655e-07   5.655662e-11  -9.719063e-01   1.619957e-01  -1.884529e-05
   2.947927e-06  -2.975449e-07   4.160492e-11  -9.822821e-01   9.914527e-02  -1.386322e-05
   2.966976e-06  -1.077034e-07   2.648253e-11  -9.886294e-01   3.588796e-02  -8.824274e-06
   2.973931e-06   8.257803e-08   1.125213e-11  -9.909469e-01  -2.751592e-02  -3.749335e-06
   2.968839e-06   2.725257e-07  -4.023915e-12  -9.892501e-01  -9.080859e-02   1.340813e-06
   2.951795e-06   4.613771e-07  -1.928383e-11  -9.835709e-01  -1.537360e-01   6.425585e-06
   2.922943e-06   6.483837e-07  -3.446667e-11  -9.739572e-01  -2.160486e-01   1.148468e-05
   2.882473e-06   8.328138e-07  -4.951257e-11  -9.604721e-01  -2.775028e-01   1.649814e-05
   2.830619e-06   1.013956e-06  -6.436299e-11  -9.431937e-01  -3.378613e-01   2.144646e-05
   2.767656e-06   1.191119e-06  -7.896088e-11  -9.222136e-01  -3.968940e-01   2.631064e-05
   2.693899e-06   1.363638e-06  -9.325090e-11  -8.976371e-01  -4.543793e-01   3.107224e-05
   2.609702e-06   1.530873e-06  -1.071796e-10  -8.695817e-01  -5.101038e-01   3.571343e-05
   2.515453e-06   1.692212e-06  -1.206955e-10  -8.381768e-01  -5.638638e-01   4.021709e-05
   2.411573e-06   1.847073e-06  -1.337494e-10  -8.035629e-01  -6.154653e-01   4.456679e-05
   2.298514e-06   1.994905e-06  -1.462943e-10  -7.658905e-01  -6.647245e-01   4.874689e-05
   2.176758e-06   2.135188e-06  -1.582857e-10  -7.253198e-01  -7.114685e-01   5.274254e-05
   2.046809e-06   2.267438e-06  -1.696814e-10  -6.820195e-01  -7.555354e-01   5.653973e-05
   1.909199e-06   2.391200e-06  -1.804421e-10  -6.361664e-01  -7.967745e-01   6.012531e-05
   1.764480e-06   2.506059e-06  -1.905309e-10  -5.879442e-01  -8.350468e-01   6.348702e-05
   1.613222e-06   2.611633e-06  -1.999138e-10  -5.375433e-01  -8.702251e-01   6.661349e-05
   1.456014e-06   2.707575e-06  -2.085594e-10  -4.851599e-01  -9.021941e-01   6.949430e-05
   1.293459e-06   2.793576e-06  -2.164392e-10  -4.309949e-01  -9.308505e-01   7.211996e-05
   1.126174e-06   2.869362e-06  -2.235277e-10  -3.752538e-01  -9.561033e-01   7.448190e-05
   9.547874e-07   2.934697e-06  -2.298019e-10  -3.181457e-01  -9.778736e-01   7.657256e-05
   7.799345e-07   2.989380e-06  -2.352421e-10  -2.598828e-01  -9.960946e-01   7.838529e-05
   6.022597e-07   3.033248e-06  -2.398313e-10  -2.006796e-01  -1.010712e+00   7.991444e-05
   4.224120e-07   3.066175e-06  -2.435553e-10  -1.407524e-01  -1.021684e+00   8.115533e-05
   2.410444e-07   3.088070e-06  -2.464030e-10  -8.031865e-02  -1.028979e+00   8.210422e-05
