 Lattice size L  Temperature T      MC Cycles          <E>/N          <M>/N            C_V            chi        Threads       Time (s)   Accept. rate
             20              1         174752     -1.9971634     0.99927675    0.023590233   0.0015726009             12      0.6300616  0.00072818904
             20            2.4         174752     -1.2431387     0.46556325       1.407522      8.6471957             12      0.6374279     0.26747711
             20              1         187381     -1.9971521     0.99927378    0.023599091   0.0015744944             12      0.6767678  0.00073038355
             20            2.4         187381     -1.2388993     0.45731635      1.4089345      8.7603788             12      0.6819024     0.26905963
             20              1         200923     -1.9971834     0.99928211    0.023301323   0.0015521409             12      0.7247813  0.00072774148
             20            2.4         200923     -1.2387707      0.4600935      1.3966857       8.613666             12      0.7219332     0.26912871
             20              1         215443     -1.9971694     0.99927897    0.023423675   0.0015582699             12       0.810286  0.00072882387
             20            2.4         215443     -1.2332846     0.44537811       1.394264      8.9667012             12      0.7685157     0.27120217
             20              1         231012     -1.9971508     0.99927406    0.023483897   0.0015641793             12      0.8545522  0.00073437743
             20            2.4         231012     -1.2320882     0.44318347      1.3840134      8.8561436             12      0.8600757     0.27163173
             20              1         247707      -1.997165     0.99927745    0.023437329   0.0015637483             12      0.9661412  0.00073247829
             20            2.4         247707     -1.2316759     0.44315728      1.3589574      8.7522054             12      0.9583353      0.2717882
             20              1         265608     -1.9971713     0.99927916      0.0233667    0.001558219             12      1.0052339   0.0007296467
             20            2.4         265608     -1.2280017     0.43541113      1.3613091      8.8011058             12      1.0061459     0.27317475
             20              1         284803     -1.9971576     0.99927592    0.023404012   0.0015586638             12      1.0474323  0.00072660752
             20            2.4         284803     -1.2307686     0.44120875      1.3749819      8.8796569             12      1.0769411     0.27211041
             20              1         305385      -1.997146     0.99927266    0.023467024   0.0015660787             12      1.1539982   0.0007308807
             20            2.4         305385     -1.2320867     0.44550402      1.3713773      8.7488944             12      1.1272068      0.2716186
             20              1         327454      -1.997154     0.99927459    0.023383066   0.0015606283             12      1.1987616  0.00072862906
             20            2.4         327454     -1.2362681     0.45500083      1.3820792      8.6434621             12      1.2282761     0.27014006
             20              1         351119     -1.9971315     0.99926878    0.023554086   0.0015732422             12      1.3737883  0.00073260063
             20            2.4         351119     -1.2365383     0.45534296      1.3794434      8.6895738             12      1.3400653     0.27006585
             20              1         376493     -1.9971326     0.99926912    0.023567034   0.0015731869             12      1.4627018  0.00073278919
             20            2.4         376493     -1.2376491     0.45920682      1.3766015      8.6145544             12      1.4408726      0.2696494
             20              1         403701     -1.9971613     0.99927501    0.023372159   0.0015797923             12      1.5230609  0.00072977278
             20            2.4         403701     -1.2390426     0.46074796      1.3855229      8.6280174             12      1.4863231     0.26921477
             20              1         432876     -1.9971375     0.99926843    0.023450395   0.0015872682             12      1.6031513  0.00073129487
             20            2.4         432876      -1.235378     0.45275594      1.3875099      8.7148899             12      1.7394431     0.27058035
             20              1         464158     -1.9971308     0.99926628    0.023563459   0.0015974955             12      1.7599081  0.00073165819
             20            2.4         464158     -1.2358268      0.4554812      1.3876824      8.6245503             12      1.8406983     0.27043739
             20              1         497702       -1.99712      0.9992639    0.023627436   0.0015997695             12      2.0069115  0.00073236595
             20            2.4         497702     -1.2358054     0.45575433      1.3901151       8.608756             12      2.0264665      0.2704949
             20              1         533669     -1.9971268     0.99926595     0.02355489   0.0015921053             12      1.9450855  0.00073258893
             20            2.4         533669     -1.2344448     0.45291829      1.3923202      8.6442601             12      1.9801074     0.27100768
             20              1         572236     -1.9971503     0.99927243      0.0233531   0.0015747243             12      2.1374191  0.00072913973
             20            2.4         572236     -1.2338336     0.45172002      1.3793668      8.5983738             12      2.1587674     0.27122372
             20              1         613590     -1.9971719     0.99927825    0.023192469   0.0015613454             12      2.2715797  0.00072634821
